Date,Avg_Fraud_Prob,Transactions,Actual_Frauds,Total_Amount
2020-04-01,0.019177845,1561,12,112255.81
2020-04-02,0.017826708,1698,10,133265.57
2020-04-03,0.02127205,1805,15,127174.57
2020-04-04,0.013851911,1892,1,121111.36
2020-04-05,0.010361421,2714,0,176726.97
2020-04-06,0.013862981,3327,5,221305.29
2020-04-07,0.020664493,3211,28,215582.9
2020-04-08,0.018582573,1422,10,96611.24
2020-04-09,0.01749727,1640,9,120769.0
2020-04-10,0.019654451,1926,9,132229.57
2020-04-11,0.012783601,1812,2,128333.44
2020-04-12,0.01255848,2689,5,186382.32
2020-04-13,0.018178275,3327,9,224864.55
2020-04-14,0.01677659,3086,11,215242.5
2020-04-15,0.023512198,1488,15,111314.71
2020-04-16,0.020614417,1644,15,116073.95
2020-04-17,0.021751184,1867,17,144443.16
2020-04-18,0.016856737,1838,6,123668.34
2020-04-19,0.018722361,2721,8,191535.58
2020-04-20,0.020074146,3220,18,227245.78
2020-04-21,0.018964387,3016,10,221331.23
2020-04-22,0.016260216,1484,0,100767.83
2020-04-23,0.018947843,1667,7,112011.97
2020-04-24,0.019924363,1836,14,127620.24
2020-04-25,0.019198917,1828,12,129861.19
2020-04-26,0.019563327,2669,10,196298.5
2020-04-27,0.0148298815,3146,3,223540.53
2020-04-28,0.01981854,3117,16,221060.28
2020-04-29,0.022017803,1519,13,112343.06999999999
2020-04-30,0.017268686,1722,12,120358.33
2020-05-01,0.024561461,1754,21,133250.17
2020-05-02,0.024433436,1848,23,141502.77
2020-05-03,0.026489714,2606,31,189510.23
2020-05-04,0.02043616,3147,19,220866.8
2020-05-05,0.022898016,3068,18,206333.93
2020-05-06,0.024100274,1531,18,109792.1
2020-05-07,0.026691422,1737,16,130966.17
2020-05-08,0.016034333,1882,11,129949.14
2020-05-09,0.027368914,1869,21,135817.98
2020-05-10,0.025820907,2631,35,201611.5
2020-05-11,0.020223277,3262,24,223735.26
2020-05-12,0.021175586,3099,20,233244.84
2020-05-13,0.020927487,1514,14,107672.28
2020-05-14,0.015230595,1695,9,118595.39
2020-05-15,0.017287657,1841,5,119643.36
2020-05-16,0.013428012,1864,9,126233.29
2020-05-17,0.014780032,2755,15,185663.56
2020-05-18,0.01589478,3086,10,209870.83
2020-05-19,0.021646958,3118,21,215388.55
2020-05-20,0.014760744,1386,4,86482.89
2020-05-21,0.026227083,1688,23,120909.64
2020-05-22,0.022494981,1860,11,128437.6
2020-05-23,0.019536676,1890,13,127044.69
2020-05-24,0.01960169,3430,28,242348.25
2020-05-25,0.021721184,3942,31,271227.48
2020-05-26,0.014125782,3839,9,263256.79
2020-05-27,0.02141969,1846,14,129065.34
2020-05-28,0.017886767,2131,15,142647.61
2020-05-29,0.019579096,2325,20,164521.93
2020-05-30,0.01937147,2396,16,197791.64
2020-05-31,0.011609713,3303,3,230654.81
2020-06-01,0.013056276,4019,5,273514.23
2020-06-02,0.015425748,3935,14,286499.19
2020-06-03,0.020404957,1867,15,136664.92
2020-06-04,0.021049075,2084,19,143195.89
2020-06-05,0.013873925,2396,6,159802.48
2020-06-06,0.011467741,2292,5,152440.11
2020-06-07,0.014617132,3288,17,218711.45
2020-06-08,0.017593652,4135,37,298702.91
2020-06-09,0.010647522,3799,8,255865.74
2020-06-10,0.017205147,1858,12,128413.47
2020-06-11,0.015774103,2101,4,168896.63
2020-06-12,0.013487213,2372,2,162727.24
2020-06-13,0.012695377,2300,6,165243.19
2020-06-14,0.016701719,3359,20,239596.41
2020-06-15,0.01540781,4167,22,296172.66
2020-06-16,0.011959118,3802,10,259567.11
2020-06-17,0.032671195,1812,35,141792.48
2020-06-18,0.030482333,2028,39,166713.71
2020-06-19,0.02297905,2413,25,176152.74
2020-06-20,0.02022655,2354,26,172070.93
2020-06-21,0.01664593,1366,7,104241.26
