Hour,Avg_Fraud_Prob,Count,Fraud_Rate_Pct
0,0.052830245,6511,1.413
1,0.05491261,6522,1.457
2,0.050955705,6692,1.509
3,0.046898596,6619,1.465
4,0.006883296,6362,0.094
5,0.012472646,6517,0.184
6,0.007180187,6545,0.138
7,0.009071715,6503,0.138
8,0.009193143,6724,0.045
9,0.009743227,6602,0.091
10,0.009693231,6472,0.124
11,0.008969031,6405,0.141
12,0.006744786,10068,0.07
13,0.010067573,9925,0.131
14,0.007906633,9979,0.06
15,0.007041398,10075,0.099
16,0.008521554,10048,0.09
17,0.008586576,10003,0.12
18,0.0077419793,10033,0.209
19,0.0070847454,9836,0.153
20,0.0050730957,9854,0.071
21,0.0058148713,10109,0.119
22,0.05219234,10275,2.959
23,0.050511666,10303,2.912
